,goodreads_book_id,books_count,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,tags_list,tags_string,cluster,dbscan_cluster
97,5060378,209,"Stieg Larsson, Reg Keeland",2006.0,Flickan som lekte med elden,"The Girl Who Played with Fire (Millennium, #2)",eng,4.22,563994,649253,31423,4623,15781,91021,258236,279592,"['fiction', 'mystery', 'crime', 'books-i-own', 'owned', 'suspense', 'mystery-thriller', 'kindle', 'thriller', 'default', 'contemporary', 'adult', 'sweden', 'audiobook', 'stieg-larsson', 'crime-thriller', 'thrillers', 'currently-reading', 'mysteries', 'adult-fiction', 'audiobooks', 'favourites', 'contemporary-fiction', 'novels', 'crime-fiction', 'library', 'mystery-suspense', 'ebook', 'audio', 'séries', 'scandinavian', 'my-books', 'crime-mystery', 'read-in-2011', 'book-club', 'swedish', 'my-library', 'favorites', 'general-fiction', 'owned-books', 'i-own', 'ebooks', 'detective', 'mystery-crime', 'read-in-2012', 'read-2010', 'novel', 'shelfari-favorites', 'audio-books', 'own-it', 'audible', 'drama', 'suspense-thriller', 'finished', 'borrowed', 'millennium', 'adventure', 'audio-book', 'scandinavia', 'favorite', 'thriller-mystery', 'trilogy', 'action', 'europe', 'translated', 'murder', 'read-2011', 'books', '5-stars', 'lisbeth-salander', 'e-books', 'murder-mystery', 'english', 'millennium-trilogy', 'literature', 'all-time-favorites', 'thriller-suspense', 'have', 'e-book', 'read-2012', 'nook', 'favorite-books', 'modern-fiction', 'larsson', 'translation', 'bestsellers', 'read-in-2015', 'realistic-fiction', 'read-in-2013', 'computer-hacker', '2010-reads', 'nordic-noir', 'abandoned', 'mystery-thrillers', 'paperback', 're-read', 'crime-mystery-thriller', 'popular-fiction', 'bookshelf', 'Stieg Larsson, Reg Keeland', 'Flickan som lekte med elden', 'The Girl Who Played with Fire (Millennium, #2)', 'eng', 2006.0]","fiction mystery crime books-i-own owned suspense mystery-thriller kindle thriller default contemporary adult sweden audiobook stieg-larsson crime-thriller thrillers currently-reading mysteries adult-fiction audiobooks favourites contemporary-fiction novels crime-fiction library mystery-suspense ebook audio séries scandinavian my-books crime-mystery read-in-2011 book-club swedish my-library favorites general-fiction owned-books i-own ebooks detective mystery-crime read-in-2012 read-2010 novel shelfari-favorites audio-books own-it audible drama suspense-thriller finished borrowed millennium adventure audio-book scandinavia favorite thriller-mystery trilogy action europe translated murder read-2011 books 5-stars lisbeth-salander e-books murder-mystery english millennium-trilogy literature all-time-favorites thriller-suspense have e-book read-2012 nook favorite-books modern-fiction larsson translation bestsellers read-in-2015 realistic-fiction read-in-2013 computer-hacker 2010-reads nordic-noir abandoned mystery-thrillers paperback re-read crime-mystery-thriller popular-fiction bookshelf Stieg Larsson, Reg Keeland Flickan som lekte med elden The Girl Who Played with Fire (Millennium, #2) eng 2006.0",3,0
112,168668,251,Joseph Heller,1961.0,Catch-22,Catch-22,en-US,3.98,563265,582515,13734,20639,37912,106269,186745,230950,"['currently-reading', 'classics', 'fiction', 'favorites', 'classic', 'war', 'owned', 'humor', 'historical-fiction', 'literature', 'books-i-own', 'novels', 'satire', 'abandoned', 'to-buy', 'favourites', 'american', 'humour', 'unfinished', '1001-books', 'owned-books', 'classics-to-read', 'book-club', 'library', 'comedy', 'american-literature', 'historical', 'modern-classics', 'did-not-finish', 'novel', 'wwii', 'literary-fiction', 'default', 'rory-gilmore-reading-challenge', 'general-fiction', 'military', '1001', 'to-read-classics', 'funny', '20th-century', 'classic-literature', 'school', 'banned-books', 'to-read-fiction', 'kindle', 'history', 'my-library', 're-read', 'audiobook', 'to-re-read', 'classic-fiction', 'adult', 'my-books', 'adult-fiction', 'wish-list', 'world-war-ii', 'literary', 'american-lit', 'audiobooks', 'english', '1001-books-to-read-before-you-die', 'all-time-favorites', 'gave-up-on', 'didn-t-finish', 'high-school', 'never-finished', 'couldn-t-finish', 'i-own', 'rory-gilmore-challenge', 'contemporary', 'dnf', 'must-read', 'on-hold', 'lit', 'audio', 'own-it', 'ww2', 'to-reread', 'classic-lit', 'ebook', 'books', 'rory-gilmore', 'gave-up', 'read-for-school', 'favorite', 'recommended', 'world-war-2', 'contemporary-fiction', 'shelfari-favorites', 'could-not-finish', 'stopped-reading', 'bookshelf', 'rory-gilmore-reading-list', 'dystopia', 'own-to-read', 'favorite-books', 'home-library', 'ebooks', 'top-100', 'Joseph Heller', 'Catch-22', 'Catch-22', 'en-US', 1961.0]",currently-reading classics fiction favorites classic war owned humor historical-fiction literature books-i-own novels satire abandoned to-buy favourites american humour unfinished 1001-books owned-books classics-to-read book-club library comedy american-literature historical modern-classics did-not-finish novel wwii literary-fiction default rory-gilmore-reading-challenge general-fiction military 1001 to-read-classics funny 20th-century classic-literature school banned-books to-read-fiction kindle history my-library re-read audiobook to-re-read classic-fiction adult my-books adult-fiction wish-list world-war-ii literary american-lit audiobooks english 1001-books-to-read-before-you-die all-time-favorites gave-up-on didn-t-finish high-school never-finished couldn-t-finish i-own rory-gilmore-challenge contemporary dnf must-read on-hold lit audio own-it ww2 to-reread classic-lit ebook books rory-gilmore gave-up read-for-school favorite recommended world-war-2 contemporary-fiction shelfari-favorites could-not-finish stopped-reading bookshelf rory-gilmore-reading-list dystopia own-to-read favorite-books home-library ebooks top-100 Joseph Heller Catch-22 Catch-22 en-US 1961.0,8,0
127,11084145,190,Walter Isaacson,2011.0,Steve Jobs,Steve Jobs,eng,4.09,560715,579256,15198,19680,21986,88456,203975,245159,"['biography', 'non-fiction', 'currently-reading', 'favorites', 'biographies', 'business', 'nonfiction', 'technology', 'owned', 'history', 'bio', 'audiobook', 'kindle', 'books-i-own', 'biography-memoir', 'audiobooks', 'leadership', 'ebook', 'to-buy', 'book-club', 'audible', 'apple', 'audio', 'owned-books', 'tech', 'steve-jobs', 'autobiography', 'bios', 'memoir', 'ebooks', 'library', 'abandoned', 'my-books', 'default', 'memoirs', 'read-in-2012', 'biographies-memoirs', 'biography-autobiography', 'entrepreneurship', 'audio-book', 'books', 'memoir-biography', 'my-library', 'on-hold', 'unfinished', 'innovation', 'audio-books', 'computers', 'biographical', 'english', 'wish-list', 'science', 'management', 'people', 'design', 'did-not-finish', 'biografie', 'favourites', 'inspirational', 'read-2012', 'auto-biography', 'steve', 'finished', 'didn-t-finish', 'favorite', 'to-read-non-fiction', 'e-book', 'business-books', 'shelfari-favorites', 'autobiographies', 'ibooks', 'e-books', 'read-in-2011', 'inspiration', 'stopped-reading', 'bio-memoir', 'never-finished', 'jobs', 'listened-to', 'bookshelf', 'adult', 'maybe', 'biographies-and-memoirs', 'i-own', 'dnf', 'work', 'marketing', 'american', 'non-fiction-to-read', 'to-read-nonfiction', 'nook', 'economics', '1', 'paused', 'computer', 'history-biography', 'startup', 'to-read-biography', 'biografias', 'Walter Isaacson', 'Steve Jobs', 'Steve Jobs', 'eng', 2011.0]",biography non-fiction currently-reading favorites biographies business nonfiction technology owned history bio audiobook kindle books-i-own biography-memoir audiobooks leadership ebook to-buy book-club audible apple audio owned-books tech steve-jobs autobiography bios memoir ebooks library abandoned my-books default memoirs read-in-2012 biographies-memoirs biography-autobiography entrepreneurship audio-book books memoir-biography my-library on-hold unfinished innovation audio-books computers biographical english wish-list science management people design did-not-finish biografie favourites inspirational read-2012 auto-biography steve finished didn-t-finish favorite to-read-non-fiction e-book business-books shelfari-favorites autobiographies ibooks e-books read-in-2011 inspiration stopped-reading bio-memoir never-finished jobs listened-to bookshelf adult maybe biographies-and-memoirs i-own dnf work marketing american non-fiction-to-read to-read-nonfiction nook economics 1 paused computer history-biography startup to-read-biography biografias Walter Isaacson Steve Jobs Steve Jobs eng 2011.0,4,0
113,6900,172,"Mitch Albom, Saulius Dagys",1997.0,Tuesdays with Morrie,Tuesdays with Morrie,eng,4.06,556518,584397,19272,11507,30534,107446,194448,240462,"['currently-reading', 'favorites', 'non-fiction', 'fiction', 'nonfiction', 'memoir', 'biography', 'inspirational', 'books-i-own', 'owned', 'classics', 'philosophy', 'mitch-albom', 'memoirs', 'contemporary', 'adult', 'book-club', 'owned-books', 'self-help', 'biography-memoir', 'favourites', 'school', 'spirituality', 'spiritual', 'default', 'to-buy', 'novels', 'death', 'library', 'rory-gilmore-reading-challenge', 'life', 'biographies', 'autobiography', 'literature', 'life-lessons', 'i-own', 'shelfari-favorites', 'borrowed', 'adult-fiction', 'my-library', 'novel', 'my-books', 'classic', 'inspiration', 'favorite', 'memoir-biography', 'death-and-dying', 'psychology', 'favorite-books', 'own-it', 'drama', 'english', 'all-time-favorites', 'read-for-school', 'friendship', 'my-favorites', 'rory-gilmore-challenge', 'school-books', 'general-fiction', 'high-school', 'audiobook', 're-read', 'finished', 'inspiring', 'young-adult', 'relationships', 'for-school', 'rory-gilmore', 'books', 'kindle', 'audio', 'tear-jerker', 'american', 'biographies-memoirs', 'bookclub', 'audiobooks', 'wish-list', 'recommended', 'must-read', 'philosophical', 'made-me-cry', 'ebook', 'contemporary-fiction', 'religion', 'read-in-2014', 'self-improvement', 'biographical', 'rory-gilmore-reading-list', 'realistic-fiction', 'books-i-have', 'thought-provoking', '5-stars', 'gilmore-girls', 'ebooks', 'albom', 'other', '20th-century', 'family', 'true-story', 'Mitch Albom, Saulius Dagys', 'Tuesdays with Morrie', 'Tuesdays with Morrie', 'eng', 1997.0]","currently-reading favorites non-fiction fiction nonfiction memoir biography inspirational books-i-own owned classics philosophy mitch-albom memoirs contemporary adult book-club owned-books self-help biography-memoir favourites school spirituality spiritual default to-buy novels death library rory-gilmore-reading-challenge life biographies autobiography literature life-lessons i-own shelfari-favorites borrowed adult-fiction my-library novel my-books classic inspiration favorite memoir-biography death-and-dying psychology favorite-books own-it drama english all-time-favorites read-for-school friendship my-favorites rory-gilmore-challenge school-books general-fiction high-school audiobook re-read finished inspiring young-adult relationships for-school rory-gilmore books kindle audio tear-jerker american biographies-memoirs bookclub audiobooks wish-list recommended must-read philosophical made-me-cry ebook contemporary-fiction religion read-in-2014 self-improvement biographical rory-gilmore-reading-list realistic-fiction books-i-have thought-provoking 5-stars gilmore-girls ebooks albom other 20th-century family true-story Mitch Albom, Saulius Dagys Tuesdays with Morrie Tuesdays with Morrie eng 1997.0",8,0
102,7126,1310,"Alexandre Dumas, Robin Buss",1844.0,Le Comte de Monte-Cristo,The Count of Monte Cristo,eng,4.21,555822,601220,15925,10381,22482,89980,183142,295235,"['classics', 'favorites', 'fiction', 'classic', 'historical-fiction', 'adventure', 'owned', 'books-i-own', 'french', 'historical', 'clàssics', 'favourites', 'france', 'kindle', 'classic-literature', 'novels', 'romance', 'to-buy', 'classics-to-read', '19th-century', 'my-ebooks', 'french-literature', 'owned-books', '1001-books', 'book-club', 'library', 'ebook', 'to-read-classics', 'default', 'audiobook', 'all-time-favorites', 'rory-gilmore-reading-challenge', 'adult', 'classic-fiction', 'ebooks', '1001', 'school', 'history', 'revenge', 'currently-reading', 'my-books', 'my-library', 'audiobooks', 'adult-fiction', 'classic-lit', 'favorite', 'alexandre-dumas', 'favorite-books', 'wish-list', 'audio', 're-read', 'french-lit', 'drama', '1001-books-to-read-before-you-die', 'general-fiction', 'mystery', 'i-own', 'abandoned', 'literary-fiction', 'the-classics', 'own-it', 'books', 'to-re-read', 'translated', 'rory-gilmore-challenge', 'thriller', 'must-read', 'unfinished', 'my-favorites', 'audible', 'shelfari-favorites', 'e-books', 'europe', 'to-read-fiction', '5-stars', 'on-hold', 'rory-gilmore', 'e-book', 'action-adventure', 'literary', 'classici', 'high-school', 'read-for-school', 'lit', '1001-books-you-must-read-before-you', 'recommended', '50-books-to-read-before-you-die', 'bbc-big-read', 'gilmore-girls', 'crime', 'fantasy', 'epic', 'translation', 'rory-gilmore-reading-list', 'childhood', 'favourite', '1001-books-to-read', 'did-not-finish', '1800s', 'Alexandre Dumas, Robin Buss', 'Le Comte de Monte-Cristo', 'The Count of Monte Cristo', 'eng', 1844.0]","classics favorites fiction classic historical-fiction adventure owned books-i-own french historical clàssics favourites france kindle classic-literature novels romance to-buy classics-to-read 19th-century my-ebooks french-literature owned-books 1001-books book-club library ebook to-read-classics default audiobook all-time-favorites rory-gilmore-reading-challenge adult classic-fiction ebooks 1001 school history revenge currently-reading my-books my-library audiobooks adult-fiction classic-lit favorite alexandre-dumas favorite-books wish-list audio re-read french-lit drama 1001-books-to-read-before-you-die general-fiction mystery i-own abandoned literary-fiction the-classics own-it books to-re-read translated rory-gilmore-challenge thriller must-read unfinished my-favorites audible shelfari-favorites e-books europe to-read-fiction 5-stars on-hold rory-gilmore e-book action-adventure literary classici high-school read-for-school lit 1001-books-you-must-read-before-you recommended 50-books-to-read-before-you-die bbc-big-read gilmore-girls crime fantasy epic translation rory-gilmore-reading-list childhood favourite 1001-books-to-read did-not-finish 1800s Alexandre Dumas, Robin Buss Le Comte de Monte-Cristo The Count of Monte Cristo eng 1844.0",8,0
115,24583,2448,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,eng,3.89,555359,594226,7165,12130,34349,143659,217896,186192,"['classics', 'currently-reading', 'fiction', 'classic', 'favorites', 'adventure', 'young-adult', 'historical-fiction', 'owned', 'books-i-own', 'literature', 'childrens', 'children', 'childhood', 'school', 'novels', 'clàssics', 'american', 'children-s', 'american-literature', 'classic-literature', '19th-century', 'owned-books', 'humor', 'kindle', 'historical', 'children-s-books', 'ya', 'novel', 'kids', 'read-for-school', 'mark-twain', 'default', 'american-lit', 'audiobook', 'classics-to-read', 'classic-fiction', 'my-books', 'english', 'library', 'my-library', 'to-buy', 'my-ebooks', 'childrens-books', 'childhood-favorites', 'for-school', 'ebooks', 'classic-lit', 'audiobooks', 'ebook', 'school-books', 'coming-of-age', 'general-fiction', 'i-own', 'high-school', 'literary-fiction', 'books', 'usa', 'children-s-literature', 'childhood-books', 'favourites', 'juvenile', 'middle-grade', 'banned-books', 'to-read-classics', 'realistic-fiction', 'history', 'middle-school', 'the-classics', 'american-classics', 'kids-books', 're-read', 'own-it', 'southern', 'youth', 'read-in-school', 'audio', 'america', 'childhood-reads', 'twain', 'series', 'audible', 'home-library', 'to-re-read', 'children-s-lit', 'literary', 'adult', 'e-books', 'read-as-a-kid', 'e-book', 'nook', 'fiction-classics', 'wish-list', 'classics-read', '8th-grade-books', 'adult-fiction', '1800s', 'missouri', 'audio-books', 'Mark Twain, Guy Cardwell, John Seelye', 'The Adventures of Tom Sawyer', 'The Adventures of Tom Sawyer', 'eng', 1876.0]","classics currently-reading fiction classic favorites adventure young-adult historical-fiction owned books-i-own literature childrens children childhood school novels clàssics american children-s american-literature classic-literature 19th-century owned-books humor kindle historical children-s-books ya novel kids read-for-school mark-twain default american-lit audiobook classics-to-read classic-fiction my-books english library my-library to-buy my-ebooks childrens-books childhood-favorites for-school ebooks classic-lit audiobooks ebook school-books coming-of-age general-fiction i-own high-school literary-fiction books usa children-s-literature childhood-books favourites juvenile middle-grade banned-books to-read-classics realistic-fiction history middle-school the-classics american-classics kids-books re-read own-it southern youth read-in-school audio america childhood-reads twain series audible home-library to-re-read children-s-lit literary adult e-books read-as-a-kid e-book nook fiction-classics wish-list classics-read 8th-grade-books adult-fiction 1800s missouri audio-books Mark Twain, Guy Cardwell, John Seelye The Adventures of Tom Sawyer The Adventures of Tom Sawyer eng 1876.0",5,0
98,11857408,147,E.L. James,2011.0,Fifty Shades Darker,"Fifty Shades Darker (Fifty Shades, #2)",eng,3.87,552059,623340,28052,37245,58935,114203,150906,262051,"['romance', 'guilty-pleasure', 'favs', 'books-i-own', 'billionaire', 'erótica', 'owned', 'part-of-a-series', 'currently-reading', 'dark', 'fiction', 'favorites', 'default', 'fifty', 'book-boyfriends', 'romantic', 'audiobooks', 'romance-contemporary', 'audio', 'book-boyfriend', 'loved-it', 'm-f', 'contemporary', 'reread', 'nook-books', '5-star', 'alpha', 'to-buy', 'audible', 'séries', 'not-interested', 'my-ebooks', 'naughty', 'young-adult', 'adult', 'hot-hot-hot', '50-shades-of-grey', 'owned-books', 'didn-t-finish', 'chicklit', 'bdsm', 'bad-boys', 'love-stories', 'completed-series', 'romance-erotic', 'billionaires', 'couldn-t-finish', 're-reading', 'meh', '50', 'read-in-2017', '1', 'trilogies', 'books-i-love', 'new-adult', 'steamy-romance', 'wtf', 'nope', 'my-books', 'on-kindle', 'e-l-james', '2012-challenge', 'adult-books', '4-star', 'read-2017', 'annoying-heroine', 'leidos', 'books-i-loved', 'kindle-read', 'erotik', 'angsty', 'boring', 'intense', 'in-english', 'fav', 'bad-boy', 'mf', 'books-read-2012', 'book-to-movie', 'love-it', '6-stars', 'kobo', 'emotional', 'ebooks-i-own', 'just-for-fun', 'read-in-2011', 'pdf', 'favoritos', 'waste-of-time', 'all-time-favorite', '2015-books', 'on-my-kindle', '5-star-books', 'my-shelf', '2-stars', 'ebook', 'alpha-hero', 'fanfiction', '5-stars', 'E.L. James', 'Fifty Shades Darker', 'Fifty Shades Darker (Fifty Shades, #2)', 'eng', 2011.0]","romance guilty-pleasure favs books-i-own billionaire erótica owned part-of-a-series currently-reading dark fiction favorites default fifty book-boyfriends romantic audiobooks romance-contemporary audio book-boyfriend loved-it m-f contemporary reread nook-books 5-star alpha to-buy audible séries not-interested my-ebooks naughty young-adult adult hot-hot-hot 50-shades-of-grey owned-books didn-t-finish chicklit bdsm bad-boys love-stories completed-series romance-erotic billionaires couldn-t-finish re-reading meh 50 read-in-2017 1 trilogies books-i-love new-adult steamy-romance wtf nope my-books on-kindle e-l-james 2012-challenge adult-books 4-star read-2017 annoying-heroine leidos books-i-loved kindle-read erotik angsty boring intense in-english fav bad-boy mf books-read-2012 book-to-movie love-it 6-stars kobo emotional ebooks-i-own just-for-fun read-in-2011 pdf favoritos waste-of-time all-time-favorite 2015-books on-my-kindle 5-star-books my-shelf 2-stars ebook alpha-hero fanfiction 5-stars E.L. James Fifty Shades Darker Fifty Shades Darker (Fifty Shades, #2) eng 2011.0",2,0
106,3473,131,Nicholas Sparks,1999.0,A Walk to Remember,A Walk to Remember,en-US,4.15,546948,559581,11071,10640,24094,94327,169650,260870,"['owned', 'adult', 'owned-books', 'currently-reading', 'drama', 'adult-fiction', 'love', 'favourites', 'realistic-fiction', 'ya', 'romance', 'sparks', 'default', 'love-story', 'love-stories', 'i-own', 'stand-alone', 'my-library', 'ebook', 'romantic', 'movie', 'books', 'all-time-favorites', 'favorites', 'contemporary-fiction', 'book-to-movie', 'novel', 'fiction', 'high-school', 'borrowed', 'classics', 'ebooks', 'wish-list', '5-stars', 'general-fiction', 'english', 're-read', 'death', 'my-favorites', 'kindle', 'chic-lit', 'tear-jerkers', 'have', 'own-it', 'sad', 'sparks-nicholas', 'finished', 'want-to-read', 'chicklit', 'shelfari-favorites', 'coming-of-age', 'e-books', 'e-book', 'books-that-made-me-cry', '4-stars', 'books-made-into-movies', 'cancer', 'faves', 'my-bookshelf', 'historical-fiction', 'mine', 'must-read', 'already-read', 'audiobook', 'guilty-pleasures', 'tearjerker', 'saw-the-movie', 'nicholas-sparks-books', 'stand-alones', 'audiobooks', 'read-in-2015', 'relationships', 'nicholas-sparks', 'read-in-2014', 'on-my-shelf', 'nicolas-sparks', 'books-i-own', 'reviewed', 'books-i-have', '3-stars', 'seen-the-movie', 'read-in-2013', 'read-in-2012', 'made-into-movies', 'contemporary', 'book-club', 'paperback', 'read-in-english', 'maybe', 'need-to-buy', 'on-my-bookshelf', 'realistic', 'tragedy', 'watched-the-movie', 'movie-books', 'tearjerkers', 'done', 'books-owned', 'emotional', 'Nicholas Sparks', 'A Walk to Remember', 'A Walk to Remember', 'en-US', 1999.0]",owned adult owned-books currently-reading drama adult-fiction love favourites realistic-fiction ya romance sparks default love-story love-stories i-own stand-alone my-library ebook romantic movie books all-time-favorites favorites contemporary-fiction book-to-movie novel fiction high-school borrowed classics ebooks wish-list 5-stars general-fiction english re-read death my-favorites kindle chic-lit tear-jerkers have own-it sad sparks-nicholas finished want-to-read chicklit shelfari-favorites coming-of-age e-books e-book books-that-made-me-cry 4-stars books-made-into-movies cancer faves my-bookshelf historical-fiction mine must-read already-read audiobook guilty-pleasures tearjerker saw-the-movie nicholas-sparks-books stand-alones audiobooks read-in-2015 relationships nicholas-sparks read-in-2014 on-my-shelf nicolas-sparks books-i-own reviewed books-i-have 3-stars seen-the-movie read-in-2013 read-in-2012 made-into-movies contemporary book-club paperback read-in-english maybe need-to-buy on-my-bookshelf realistic tragedy watched-the-movie movie-books tearjerkers done books-owned emotional Nicholas Sparks A Walk to Remember A Walk to Remember en-US 1999.0,1,-1
99,7244,39,Barbara Kingsolver,1998.0,The Poisonwood Bible,The Poisonwood Bible,eng,4.02,546502,562787,19941,21699,33702,92590,175725,239071,"['favorites', 'historical-fiction', 'currently-reading', 'fiction', 'book-club', 'books-i-own', 'classics', 'owned', 'literature', 'novels', 'africa', 'historical', 'religion', 'literary-fiction', 'adult-fiction', 'contemporary', '1001-books', 'adult', 'contemporary-fiction', 'favourites', 'all-time-favorites', 'general-fiction', 'bookclub', 'library', 'owned-books', 'kindle', 'novel', 'congo', '1001', 'favorite-books', 'school', 'audiobook', '1001-books-to-read-before-you-die', 'shelfari-favorites', 'barbara-kingsolver', 'audio', 'audiobooks', 'literary', 'book-club-books', 'book-group', 'to-buy', 'family', 'drama', 'my-library', 'history', 'abandoned', 'own-it', 'default', 'modern-fiction', 'oprah', 'oprah-s-book-club', 'my-favorites', 'american', 'to-read-fiction', 'favorite', 'missionaries', 'i-own', 'coming-of-age', 'my-books', 'classic', 'ebook', 'women', '20th-century', 're-read', 'audible', '1001-books-you-must-read-before-you', 'didn-t-finish', 'did-not-finish', 'realistic-fiction', 'high-school', 'cultural', 'recommended', 'read-for-school', 'for-school', 'unfinished', 'school-books', 'travel', 'book-club-reads', 'fiction-general', 'female-author', 'oprah-book-club', 'female-authors', 'pulitzer', 'colonialism', 'to-re-read', 'wish-list', '5-stars', 'american-literature', 'never-finished', 'faves', 'couldn-t-finish', 'christianity', 'adventure', 'oprahs-book-club', '1001-books-to-read', 'finished', 'ebooks', 'audio-book', '100-books-to-read-in-a-lifetime', 'Barbara Kingsolver', 'The Poisonwood Bible', 'The Poisonwood Bible', 'eng', 1998.0]",favorites historical-fiction currently-reading fiction book-club books-i-own classics owned literature novels africa historical religion literary-fiction adult-fiction contemporary 1001-books adult contemporary-fiction favourites all-time-favorites general-fiction bookclub library owned-books kindle novel congo 1001 favorite-books school audiobook 1001-books-to-read-before-you-die shelfari-favorites barbara-kingsolver audio audiobooks literary book-club-books book-group to-buy family drama my-library history abandoned own-it default modern-fiction oprah oprah-s-book-club my-favorites american to-read-fiction favorite missionaries i-own coming-of-age my-books classic ebook women 20th-century re-read audible 1001-books-you-must-read-before-you didn-t-finish did-not-finish realistic-fiction high-school cultural recommended read-for-school for-school unfinished school-books travel book-club-reads fiction-general female-author oprah-book-club female-authors pulitzer colonialism to-re-read wish-list 5-stars american-literature never-finished faves couldn-t-finish christianity adventure oprahs-book-club 1001-books-to-read finished ebooks audio-book 100-books-to-read-in-a-lifetime Barbara Kingsolver The Poisonwood Bible The Poisonwood Bible eng 1998.0,0,0
107,9416,144,Sophie Kinsella,2000.0,Confessions of a Shopaholic,"Confessions of a Shopaholic (Shopaholic, #1)",eng,3.61,543658,558004,11170,30705,56949,156636,166927,146787,"['favorites', 'sophie-kinsella', 'chic-lit', 'funny', 'adult-fiction', 'owned-books', 'contemporary-romance', 'comedy', 'chick-lit', 'humour', 'currently-reading', 'guilty-pleasures', 'fluff', 'favourites', 'british', 'default', 'young-adult', 'my-books', 'kindle', 'novels', 'i-own', 'beach-reads', 'contemporary-fiction', 'general-fiction', 'fiction', 'romance', 'shopaholic', 'to-buy', 'realistic-fiction', 'ebook', 'contemporary', 'audiobook', 'my-library', 'movies', 'english', 'girly', 'novel', 'romantic-comedy', 'book-club', 'movie', 'borrowed', 'books-i-own', 'shopaholic-series', 'own-it', 'fun', 'england', 'read-in-2015', 'womens-fiction', 'audiobooks', 'did-not-finish', 'just-for-fun', 'owned', 'fashion', 'finished', 'chick', 'light-reading', 'humor', 'e-book', 'abandoned', 'paperback', 'girly-books', 'light-reads', 'dnf', 'first-in-series', 'kinsella', 're-read', 'favorite-books', 'favorite', 'audio', 'read-in-2014', 'read-in-2012', 'book-to-movie', 'books', 'have', 'brit-lit', '3-stars', 'read-in-2011', 'women-s-fiction', 'hilarious', 'read-2009', 'wish-list', 'part-of-a-series', 'books-to-movies', 'read-in-2010', 'modern', 'e-books', 'chick-lit-romance', 'read-in-english', 'on-my-shelf', 'my-bookshelf', 'chiclit', 'brain-candy', 'for-fun', 'ya', 'library-books', 'beach-read', 'shopping', '5-stars', 'books-i-have', 'Sophie Kinsella', 'Confessions of a Shopaholic', 'Confessions of a Shopaholic (Shopaholic, #1)', 'eng', 2000.0]","favorites sophie-kinsella chic-lit funny adult-fiction owned-books contemporary-romance comedy chick-lit humour currently-reading guilty-pleasures fluff favourites british default young-adult my-books kindle novels i-own beach-reads contemporary-fiction general-fiction fiction romance shopaholic to-buy realistic-fiction ebook contemporary audiobook my-library movies english girly novel romantic-comedy book-club movie borrowed books-i-own shopaholic-series own-it fun england read-in-2015 womens-fiction audiobooks did-not-finish just-for-fun owned fashion finished chick light-reading humor e-book abandoned paperback girly-books light-reads dnf first-in-series kinsella re-read favorite-books favorite audio read-in-2014 read-in-2012 book-to-movie books have brit-lit 3-stars read-in-2011 women-s-fiction hilarious read-2009 wish-list part-of-a-series books-to-movies read-in-2010 modern e-books chick-lit-romance read-in-english on-my-shelf my-bookshelf chiclit brain-candy for-fun ya library-books beach-read shopping 5-stars books-i-have Sophie Kinsella Confessions of a Shopaholic Confessions of a Shopaholic (Shopaholic, #1) eng 2000.0",9,0
